日期,代码,名称,昨收,今开,最高,最低,现收,总手,金额,涨幅,涨幅比
2003-12-31 15:00:00,sh600012,皖通高速,0,4.2,6.32,4.11,5.67,24060204,13010735104,1.47,35
2004-12-31 15:00:00,sh600012,皖通高速,5.67,5.65,6.58,5.01,6.19,9052072,5248625152,0.52,9.20353982300885
2005-12-30 15:00:00,sh600012,皖通高速,6.19,6.19,8.26,5.16,6,6707400,4525852672,-0.19,-3.0694668820678515
2006-12-29 15:00:00,sh600012,皖通高速,6,5.95,6.45,4.45,5.86,14742693,8025441280,-0.14,-2.3529411764705883
2007-12-28 15:00:00,sh600012,皖通高速,5.86,5.96,11.46,5.75,9.22,30549722,26731044864,3.36,56.375838926174495
2008-12-31 15:00:00,sh600012,皖通高速,9.22,9.2,10,3.57,3.77,10381599,6739722752,-5.45,-59.2391304347826
2009-12-31 15:00:00,sh600012,皖通高速,3.77,3.8,6.59,3.78,5.94,23560314,12522177536,2.17,57.10526315789474
2010-12-31 15:00:00,sh600012,皖通高速,5.94,5.97,8.49,5.12,5.91,29666732,20439396352,-0.03,-0.5025125628140703
2011-12-30 15:00:00,sh600012,皖通高速,5.91,5.94,6.88,4.15,4.19,9051552,5177604096,-1.72,-28.95622895622896
2012-12-31 15:00:00,sh600012,皖通高速,4.19,4.22,4.86,3.57,4.04,5230749,2283681024,-0.15,-3.5545023696682465
2013-12-31 15:00:00,sh600012,皖通高速,4.04,4.06,4.81,3.34,3.94,7923164,3261519616,-0.1,-2.4630541871921183
2014-12-31 15:00:00,sh600012,皖通高速,3.94,3.91,6.52,3.55,6.18,11859128,5922332160,2.24,57.289002557544755
2015-12-31 15:00:00,sh600012,皖通高速,6.18,6.19,20.16,5.54,13.37,40895424,46377074688,7.19,116.15508885298868
2016-12-30 15:00:00,sh600012,皖通高速,13.37,13.33,19.2,8.9,16.49,22135560,31257643008,3.12,23.40585146286572
2017-12-29 15:00:00,sh600012,皖通高速,16.49,16.49,17.69,10.35,11,12307965,17337538560,-5.49,-33.29290479078229
2018-12-28 15:00:00,sh600012,皖通高速,11,11,12.12,4.93,6.03,8695176,6118443008,-4.97,-45.18181818181819
2019-12-31 15:00:00,sh600012,皖通高速,6.03,6.03,7.36,5.33,5.88,10332746,6480005120,-0.15,-2.4875621890547266
2020-12-31 15:00:00,sh600012,皖通高速,5.88,5.9,6.62,5.02,6.18,10553883,5924073472,0.3,5.084745762711865
2021-12-31 15:00:00,sh600012,皖通高速,6.18,6.14,7.82,5.51,7.08,14261562,9363513344,0.9,14.65798045602606
2022-12-30 15:00:00,sh600012,皖通高速,7.08,7.09,8.7,6.32,7.31,13518876,9956047872,0.23,3.244005641748942
2023-12-29 15:00:00,sh600012,皖通高速,7.31,7.3,11.77,7.29,11.02,16553765,16696044544,3.71,50.821917808219176
2024-12-31 15:00:00,sh600012,皖通高速,11.02,11.13,18.04,10.86,17.65,15442967,21809963008,6.63,59.56873315363881
2025-03-14 15:00:00,sh600012,皖通高速,17.65,18.5,18.5,14.87,16.15,3708513,6080261632,-1.5,-8.108108108108109
