日期,代码,名称,昨收,今开,最高,最低,现收,总手,金额,涨幅,涨幅比
2000-12-19 15:00:00,sh600016,民生银行,0,20,21,18.5,18.56,1563524,3058872064,-1.44,-7.199999999999999
2000-12-20 15:00:00,sh600016,民生银行,18.56,18.47,18.47,17.91,18.1,290467,526016576,-0.46,-2.490525175961018
2000-12-21 15:00:00,sh600016,民生银行,18.1,18.18,18.48,18,18.09,113629,206705744,-0.01,-0.055005500550055
2000-12-22 15:00:00,sh600016,民生银行,18.09,18.1,18.17,17.6,17.66,130264,231272608,-0.43,-2.3756906077348066
2000-12-25 15:00:00,sh600016,民生银行,17.66,17.6,17.62,17.01,17.2,101131,174453024,-0.46,-2.6136363636363633
2000-12-26 15:00:00,sh600016,民生银行,17.2,17.2,17.5,17.18,17.32,65390,113179160,0.12,0.6976744186046512
2000-12-27 15:00:00,sh600016,民生银行,17.32,17.35,17.38,17.05,17.11,68140,116840536,-0.21,-1.2103746397694526
2000-12-28 15:00:00,sh600016,民生银行,17.11,17.1,17.19,17.02,17.08,69214,118199560,-0.03,-0.17543859649122806
2000-12-29 15:00:00,sh600016,民生银行,17.08,17.1,17.38,17.05,17.22,39852,68457752,0.14,0.8187134502923977
2001-01-02 15:00:00,sh600016,民生银行,17.22,17.25,17.55,17.1,17.39,54400,94143232,0.17,0.9855072463768115
2001-01-03 15:00:00,sh600016,民生银行,17.39,17.45,17.47,17.22,17.3,43223,74715216,-0.09,-0.5157593123209169
2001-01-04 15:00:00,sh600016,民生银行,17.3,17.34,17.39,17.1,17.16,52051,89541752,-0.14,-0.8073817762399077
2001-01-05 15:00:00,sh600016,民生银行,17.16,17.13,17.15,16.78,16.92,93185,157555680,-0.24,-1.4010507880910683
2001-01-08 15:00:00,sh600016,民生银行,16.92,16.88,16.89,16.51,16.59,64524,107107760,-0.33,-1.9549763033175356
2001-01-09 15:00:00,sh600016,民生银行,16.59,16.58,17.08,16.51,17.03,53364,89826848,0.44,2.6537997587454765
2001-01-10 15:00:00,sh600016,民生银行,17.03,17.06,17.16,16.8,17.03,39011,66339296,0,0
2001-01-11 15:00:00,sh600016,民生银行,17.03,17.03,17.7,17,17.38,130539,228192672,0.35,2.055196711685261
2001-01-12 15:00:00,sh600016,民生银行,17.38,17.39,17.6,17.2,17.53,61131,106765776,0.15,0.8625646923519263
