日期,代码,名称,昨收,今开,最高,最低,现收,总手,金额,涨幅,涨幅比
2000-12-29 15:00:00,sh600016,民生银行,0,20,21,17.01,17.22,2441611,4613997568,-2.78,-13.900000000000002
2001-01-19 15:00:00,sh600016,民生银行,17.22,17.25,17.7,16.51,17.55,859458,1475323520,0.33,1.9130434782608694
2001-02-28 15:00:00,sh600016,民生银行,17.55,17.63,17.65,16.1,16.4,356339,594584256,-1.15,-6.5229722064662505
2001-03-30 15:00:00,sh600016,民生银行,16.4,16.4,18.34,16.38,18.16,1191884,2098154880,1.76,10.731707317073171
2001-04-30 15:00:00,sh600016,民生银行,18.16,18.67,19.35,17.98,18.62,1180350,2216954112,0.46,2.4638457418318156
2001-05-31 15:00:00,sh600016,民生银行,18.62,18.62,20.31,15.35,15.6,1012298,1940725504,-3.02,-16.219119226638025
2001-06-29 15:00:00,sh600016,民生银行,15.6,15.6,16.66,14.76,14.92,1037301,1628718080,-0.68,-4.358974358974359
2001-07-31 15:00:00,sh600016,民生银行,14.92,14.93,15.56,12.75,12.85,562472,804618624,-2.07,-13.864701942397856
2001-08-31 15:00:00,sh600016,民生银行,12.85,12.9,13.35,11.65,12.5,398259,497096160,-0.35,-2.7131782945736433
2001-09-28 15:00:00,sh600016,民生银行,12.5,12.5,14.55,12.5,14.31,652801,891750848,1.81,14.48
2001-10-31 15:00:00,sh600016,民生银行,14.31,14.31,14.79,12.7,14.4,891222,1264131968,0.09,0.628930817610063
2001-11-30 15:00:00,sh600016,民生银行,14.4,14.41,15.2,13.31,14.81,737398,1075139968,0.41,2.8452463566967383
2001-12-31 15:00:00,sh600016,民生银行,14.81,14.85,14.98,13.18,14.51,579520,820900736,-0.3,-2.0202020202020203
2002-01-31 15:00:00,sh600016,民生银行,14.51,14.2,14.39,11.69,13.35,552289,712226432,-1.16,-8.169014084507042
2002-02-28 15:00:00,sh600016,民生银行,13.35,13.35,13.58,12.31,12.77,300083,391097312,-0.58,-4.344569288389513
2002-03-29 15:00:00,sh600016,民生银行,12.77,12.7,14.45,12.52,12.95,871873,1177678208,0.18,1.4173228346456692
2002-04-30 15:00:00,sh600016,民生银行,12.95,12.83,13.75,12.8,13.48,397869,530299040,0.53,4.1309431021044425
2002-05-31 15:00:00,sh600016,民生银行,13.48,13.45,13.55,11.1,11.1,347090,426561888,-2.38,-17.695167286245354
2002-06-28 15:00:00,sh600016,民生银行,11.1,11.01,12.98,10.11,12.47,1110692,1326380800,1.37,12.443233424159855
2002-07-31 15:00:00,sh600016,民生银行,12.47,12.5,13.3,11.95,12.77,1543156,1944233472,0.3,2.4
2002-08-30 15:00:00,sh600016,民生银行,12.77,12.75,13.17,12.23,12.94,1013769,1299773312,0.17,1.3333333333333335
2002-09-27 15:00:00,sh600016,民生银行,12.94,12.94,13.11,11.7,11.74,473179,584083648,-1.2,-9.273570324574962
2002-10-31 15:00:00,sh600016,民生银行,11.74,11.68,11.78,10.96,11.12,265700,297830592,-0.62,-5.308219178082192
2002-11-29 15:00:00,sh600016,民生银行,11.12,11.12,11.85,10.55,10.94,511671,570110272,-0.18,-1.618705035971223
2002-12-31 15:00:00,sh600016,民生银行,10.94,10.7,10.79,9.17,9.19,401439,406481120,-1.75,-16.355140186915886
2003-01-29 15:00:00,sh600016,民生银行,9.19,9.15,11.08,8.8,10.9,952631,960131200,1.71,18.688524590163937
2003-02-27 15:00:00,sh600016,民生银行,10.9,10.9,10.96,10,10.47,521998,548666368,-0.43,-3.9449541284403673
2003-03-31 15:00:00,sh600016,民生银行,10.47,10.46,11.95,10.02,11.81,1704247,1891542912,1.34,12.810707456978967
2003-04-30 15:00:00,sh600016,民生银行,11.81,11.83,14.1,10.13,11.4,9301052,10870794240,-0.41,-3.4657650042265424
2003-05-30 15:00:00,sh600016,民生银行,11.4,11.39,12.08,11.1,11.29,3624518,4198027264,-0.11,-0.9657594381035997
2003-06-30 15:00:00,sh600016,民生银行,11.29,11.29,11.46,9.9,9.97,1818652,1953423872,-1.32,-11.691762621789193
2003-07-31 15:00:00,sh600016,民生银行,9.97,10.03,10.74,9.7,9.81,1348207,1378780672,-0.16,-1.5952143569292123
2003-08-29 15:00:00,sh600016,民生银行,9.81,9.81,10.29,8.76,8.97,956696,899389568,-0.84,-8.56269113149847
2003-09-30 15:00:00,sh600016,民生银行,8.97,8.98,9.15,7.95,8.15,1024740,878760448,-0.82,-9.131403118040089
2003-10-31 15:00:00,sh600016,民生银行,8.15,8.18,8.74,7.98,8.43,1089200,914068416,0.28,3.4229828850855744
2003-11-28 15:00:00,sh600016,民生银行,8.43,8.43,9.15,8.1,8.71,1967726,1713322880,0.28,3.3214709371292996
2003-12-31 15:00:00,sh600016,民生银行,8.71,8.73,9.96,8.64,9.45,6659282,6224070656,0.74,8.47651775486827
2004-01-30 15:00:00,sh600016,民生银行,9.45,9.46,11.69,9.45,10.79,5643023,6152580608,1.34,14.16490486257928
2004-02-27 15:00:00,sh600016,民生银行,10.79,11.35,12.24,10.44,10.76,8339299,9524219904,-0.03,-0.2643171806167401
2004-03-31 15:00:00,sh600016,民生银行,10.76,10.74,11.37,10.28,10.8,4218011,4587765760,0.04,0.37243947858473
2004-04-30 15:00:00,sh600016,民生银行,10.8,10.8,11.1,7.38,7.88,3045752,2837934592,-2.92,-27.037037037037038
2004-05-31 15:00:00,sh600016,民生银行,7.88,7.9,7.97,7.45,7.65,1402246,1079952000,-0.23,-2.911392405063291
2004-06-30 15:00:00,sh600016,民生银行,7.65,7.65,7.81,6.1,6.26,3183029,2108419200,-1.39,-18.169934640522875
2004-07-30 15:00:00,sh600016,民生银行,6.26,6.25,6.86,6.25,6.53,1941225,1275425792,0.27,4.32
2004-08-31 15:00:00,sh600016,民生银行,6.53,6.5,6.97,6.35,6.78,1946376,1307237120,0.25,3.8461538461538463
2004-09-30 15:00:00,sh600016,民生银行,6.78,6.77,7.27,6.14,6.63,3310633,2272277760,-0.15,-2.2156573116691285
2004-10-29 15:00:00,sh600016,民生银行,6.63,6.63,6.65,5.63,5.91,2394570,1453492352,-0.72,-10.85972850678733
2004-11-30 15:00:00,sh600016,民生银行,5.91,5.91,6.16,5.73,5.86,1544726,921176768,-0.05,-0.8460236886632826
2004-12-31 15:00:00,sh600016,民生银行,5.86,5.85,6.03,5.34,5.44,1930434,1102027648,-0.42,-7.179487179487179
2005-01-31 15:00:00,sh600016,民生银行,5.44,5.42,5.6,5.02,5.21,1784418,950496640,-0.23,-4.243542435424354
2005-02-28 15:00:00,sh600016,民生银行,5.21,5.21,6.22,5.2,5.93,3158324,1868474880,0.72,13.81957773512476
2005-03-31 15:00:00,sh600016,民生银行,5.93,5.91,6,5.28,5.4,2048046,1166343808,-0.53,-8.967851099830796
2005-04-29 15:00:00,sh600016,民生银行,5.4,5.4,6.09,4.48,4.86,2523461,1340239872,-0.54,-10
2005-05-31 15:00:00,sh600016,民生银行,4.86,4.86,5.04,4.5,4.6,1698462,813737728,-0.26,-5.349794238683128
2005-06-30 15:00:00,sh600016,民生银行,4.6,4.6,5.21,4.5,4.74,5596274,2768416768,0.14,3.0434782608695654
2005-07-29 15:00:00,sh600016,民生银行,4.74,4.74,5.3,4.59,5.2,4024725,2008466176,0.46,9.70464135021097
2005-08-31 15:00:00,sh600016,民生银行,5.2,5.2,5.76,5.14,5.5,6947060,3822107136,0.3,5.769230769230769
2005-09-30 15:00:00,sh600016,民生银行,5.5,5.51,5.93,5.3,5.56,3674099,2066295424,0.06,1.0889292196007259
2005-10-31 15:00:00,sh600016,民生银行,5.56,3.69,3.74,3.48,3.67,2193793,785951104,-1.89,-51.21951219512195
2005-11-30 15:00:00,sh600016,民生银行,3.67,3.67,3.87,3.5,3.86,4668102,1717422208,0.19,5.177111716621254
2005-12-30 15:00:00,sh600016,民生银行,3.86,3.87,4.29,3.81,4.06,7849051,3179753984,0.2,5.167958656330749
2006-01-25 15:00:00,sh600016,民生银行,4.06,4.1,4.44,3.89,4.42,9671508,4032894208,0.36,8.780487804878048
2006-02-28 15:00:00,sh600016,民生银行,4.42,4.45,5.26,4.3,5.26,11812593,5621289984,0.84,18.876404494382022
2006-03-30 15:00:00,sh600016,民生银行,5.26,5.28,5.43,4.77,5.31,13302878,6757480448,0.05,0.946969696969697
2006-04-28 15:00:00,sh600016,民生银行,5.31,5.33,5.77,3.8,4.25,19859678,9053110272,-1.06,-19.887429643527206
2006-05-31 15:00:00,sh600016,民生银行,4.25,4.25,4.59,4.18,4.37,26615686,11659327488,0.12,2.823529411764706
2006-06-30 15:00:00,sh600016,民生银行,4.37,4.36,4.45,3.86,4.37,14505020,6032520704,0,0
2006-07-31 15:00:00,sh600016,民生银行,4.37,4.39,4.58,4.08,4.12,12003885,5167189504,-0.25,-5.694760820045558
