日期,代码,名称,昨收,今开,最高,最低,现收,总手,金额,涨幅,涨幅比
2006-10-20 15:00:00,sh600017,日照港,0,6.32,6.7,6.23,6.55,2156559,1394781952,0.23,3.6392405063291138
2006-10-27 15:00:00,sh600017,日照港,6.55,6.58,7.27,6.4,7.14,848381,581926528,0.59,8.966565349544073
2006-11-03 15:00:00,sh600017,日照港,7.14,7.16,7.47,7,7.12,355401,256941552,-0.02,-0.27932960893854747
2006-11-10 15:00:00,sh600017,日照港,7.12,7.05,7.37,6.95,7.08,305419,218880208,-0.04,-0.5673758865248227
2006-11-17 15:00:00,sh600017,日照港,7.08,7.05,7.14,6.46,6.68,381749,255881280,-0.4,-5.673758865248227
2006-11-24 15:00:00,sh600017,日照港,6.68,6.65,7.01,6.55,6.74,327127,221808640,0.06,0.9022556390977444
2006-12-01 15:00:00,sh600017,日照港,6.74,6.73,7.25,6.71,7.15,437468,302419520,0.41,6.092124814264487
2006-12-08 15:00:00,sh600017,日照港,7.15,7.14,8.46,7.11,7.68,1224014,954121600,0.53,7.42296918767507
2006-12-15 15:00:00,sh600017,日照港,7.68,7.53,7.89,7.3,7.57,845420,639185024,-0.11,-1.4608233731739706
2006-12-22 15:00:00,sh600017,日照港,7.57,7.6,7.67,7.35,7.4,606617,454291936,-0.17,-2.236842105263158
2006-12-29 15:00:00,sh600017,日照港,7.4,7.38,7.62,7,7.22,452824,331841536,-0.18,-2.4390243902439024
2007-01-05 15:00:00,sh600017,日照港,7.22,7.16,7.5,7.14,7.49,214020,156119968,0.27,3.7709497206703912
2007-01-12 15:00:00,sh600017,日照港,7.49,7.51,8.37,7.48,7.88,990664,786052096,0.39,5.193075898801598
2007-01-19 15:00:00,sh600017,日照港,7.88,7.84,8.56,7.61,8.32,1244485,1013693440,0.44,5.612244897959184
2007-01-26 15:00:00,sh600017,日照港,8.32,8.36,10.07,7.98,8.49,1587115,1384293632,0.17,2.0334928229665072
