日期,代码,名称,昨收,今开,最高,最低,现收,总手,金额,涨幅,涨幅比
2023-01-17 09:45:00,sh600018,上港集团,0,5.31,5.31,5.27,5.27,12570,6640076,-0.04,-0.7532956685499058
2023-01-17 10:00:00,sh600018,上港集团,5.27,5.27,5.28,5.26,5.26,12289,6476571,-0.01,-0.18975332068311196
2023-01-17 10:15:00,sh600018,上港集团,5.26,5.26,5.27,5.26,5.27,5870,3090695,0.01,0.19011406844106463
2023-01-17 10:30:00,sh600018,上港集团,5.27,5.26,5.27,5.26,5.26,7519,3958049,-0.01,-0.19011406844106463
2023-01-17 10:45:00,sh600018,上港集团,5.26,5.26,5.27,5.25,5.26,9655,5077577,0,0
2023-01-17 11:00:00,sh600018,上港集团,5.26,5.25,5.26,5.25,5.25,9516,4998004,-0.01,-0.19047619047619047
2023-01-17 11:15:00,sh600018,上港集团,5.25,5.26,5.26,5.24,5.25,10804,5672101,0,0
2023-01-17 11:30:00,sh600018,上港集团,5.25,5.24,5.26,5.24,5.24,9242,4849574,-0.01,-0.19083969465648853
2023-01-17 13:15:00,sh600018,上港集团,5.24,5.24,5.26,5.24,5.24,9892,5189649,0,0
2023-01-17 13:30:00,sh600018,上港集团,5.24,5.24,5.25,5.23,5.24,10804,5663009,0,0
2023-01-17 13:45:00,sh600018,上港集团,5.24,5.25,5.25,5.23,5.24,9011,4718536,0,0
2023-01-17 14:00:00,sh600018,上港集团,5.24,5.25,5.25,5.23,5.24,7738,4055470,0,0
2023-01-17 14:15:00,sh600018,上港集团,5.24,5.25,5.26,5.24,5.25,9958,5226125,0.01,0.19047619047619047
2023-01-17 14:30:00,sh600018,上港集团,5.25,5.25,5.26,5.24,5.25,5778,3034079,0,0
2023-01-17 14:45:00,sh600018,上港集团,5.25,5.25,5.26,5.24,5.25,14766,7754356,0,0
2023-01-17 15:00:00,sh600018,上港集团,5.25,5.25,5.27,5.25,5.27,10417,5478295,0.02,0.38095238095238093
2023-01-18 09:45:00,sh600018,上港集团,5.27,5.26,5.27,5.24,5.25,12274,6456484,-0.02,-0.38022813688212925
2023-01-18 10:00:00,sh600018,上港集团,5.25,5.26,5.26,5.25,5.26,5824,3060493,0.01,0.19011406844106463
2023-01-18 10:15:00,sh600018,上港集团,5.26,5.26,5.27,5.25,5.26,6321,3325279,0,0
2023-01-18 10:30:00,sh600018,上港集团,5.26,5.26,5.27,5.26,5.27,7605,4001687,0.01,0.19011406844106463
2023-01-18 10:45:00,sh600018,上港集团,5.27,5.26,5.27,5.25,5.25,8899,4678455,-0.02,-0.38022813688212925
2023-01-18 11:00:00,sh600018,上港集团,5.25,5.26,5.26,5.25,5.26,3050,1602533,0.01,0.19011406844106463
2023-01-18 11:15:00,sh600018,上港集团,5.26,5.25,5.26,5.25,5.25,5608,2946799,-0.01,-0.19047619047619047
2023-01-18 11:30:00,sh600018,上港集团,5.25,5.25,5.26,5.25,5.25,3532,1856080,0,0
2023-01-18 13:15:00,sh600018,上港集团,5.25,5.25,5.26,5.25,5.25,4501,2364455,0,0
2023-01-18 13:30:00,sh600018,上港集团,5.25,5.25,5.26,5.24,5.25,14432,7575659,0,0
2023-01-18 13:45:00,sh600018,上港集团,5.25,5.25,5.26,5.24,5.25,5966,3131982,0,0
2023-01-18 14:00:00,sh600018,上港集团,5.25,5.25,5.25,5.24,5.25,12095,6343197,0,0
2023-01-18 14:15:00,sh600018,上港集团,5.25,5.25,5.26,5.24,5.25,15578,8175626,0,0
2023-01-18 14:30:00,sh600018,上港集团,5.25,5.25,5.25,5.24,5.24,11531,6047130,-0.01,-0.19047619047619047
2023-01-18 14:45:00,sh600018,上港集团,5.24,5.25,5.26,5.24,5.25,17608,9241717,0.01,0.19047619047619047
2023-01-18 15:00:00,sh600018,上港集团,5.25,5.24,5.25,5.23,5.25,24311,12746419,0,0
2023-01-19 09:45:00,sh600018,上港集团,5.25,5.24,5.25,5.22,5.23,13734,7188193,-0.02,-0.38167938931297707
2023-01-19 10:00:00,sh600018,上港集团,5.23,5.24,5.24,5.22,5.22,8114,4245988,-0.01,-0.19083969465648853
2023-01-19 10:15:00,sh600018,上港集团,5.22,5.22,5.23,5.22,5.23,5625,2939249,0.01,0.19157088122605362
2023-01-19 10:30:00,sh600018,上港集团,5.23,5.23,5.24,5.22,5.23,10159,5314228,0,0
2023-01-19 10:45:00,sh600018,上港集团,5.23,5.23,5.24,5.23,5.24,5225,2735861,0.01,0.19120458891013384
2023-01-19 11:00:00,sh600018,上港集团,5.24,5.24,5.25,5.23,5.24,7629,3998253,0,0
2023-01-19 11:15:00,sh600018,上港集团,5.24,5.24,5.26,5.24,5.25,10125,5314177,0.01,0.19083969465648853
2023-01-19 11:30:00,sh600018,上港集团,5.25,5.25,5.26,5.24,5.24,5220,2738599,-0.01,-0.19047619047619047
2023-01-19 13:15:00,sh600018,上港集团,5.24,5.24,5.25,5.24,5.25,6087,3191310,0.01,0.19083969465648853
2023-01-19 13:30:00,sh600018,上港集团,5.25,5.24,5.25,5.24,5.25,7463,3915786,0,0
2023-01-19 13:45:00,sh600018,上港集团,5.25,5.24,5.25,5.24,5.24,5483,2875207,-0.01,-0.19083969465648853
2023-01-19 14:00:00,sh600018,上港集团,5.24,5.25,5.26,5.24,5.26,6416,3367708,0.02,0.38095238095238093
2023-01-19 14:15:00,sh600018,上港集团,5.26,5.26,5.26,5.25,5.25,7477,3929199,-0.01,-0.19011406844106463
2023-01-19 14:30:00,sh600018,上港集团,5.25,5.26,5.26,5.25,5.25,5903,3101277,0,0
2023-01-19 14:45:00,sh600018,上港集团,5.25,5.26,5.26,5.25,5.25,11882,6245425,0,0
2023-01-19 15:00:00,sh600018,上港集团,5.25,5.25,5.27,5.25,5.27,25696,13524142,0.02,0.38095238095238093
2023-01-20 09:45:00,sh600018,上港集团,5.27,5.27,5.3,5.26,5.28,26568,14041705,0.01,0.18975332068311196
2023-01-20 10:00:00,sh600018,上港集团,5.28,5.28,5.29,5.28,5.28,18099,9560010,0,0
