日期,代码,名称,昨收,今开,最高,最低,现收,总手,金额,涨幅,涨幅比
2003-09-30 15:00:00,sh600020,中原高速,0,8,8.35,7.53,7.8,3693906,2899673088,-0.2,-2.5
2003-12-31 15:00:00,sh600020,中原高速,7.8,7.8,8.27,6.8,7.3,3650282,2733665536,-0.5,-6.41025641025641
2004-03-31 15:00:00,sh600020,中原高速,7.3,7.26,8.57,7.26,7.57,5283491,4148863488,0.27,3.71900826446281
2004-06-30 15:00:00,sh600020,中原高速,7.57,7.57,7.89,6.99,7.51,1767433,1305039488,-0.06,-0.7926023778071334
2004-09-30 15:00:00,sh600020,中原高速,7.51,7.48,7.73,6.91,7.19,1914995,1416768512,-0.32,-4.27807486631016
2004-12-31 15:00:00,sh600020,中原高速,7.19,7.18,8.53,6.95,7.39,2561516,1994918144,0.2,2.785515320334262
2005-03-31 15:00:00,sh600020,中原高速,7.39,7.33,8.45,7.18,7.64,1417923,1114431744,0.25,3.4106412005457027
2005-06-30 15:00:00,sh600020,中原高速,7.64,7.61,8.92,6.82,7.97,2302368,1845448320,0.33,4.336399474375821
2005-09-30 15:00:00,sh600020,中原高速,7.97,7.91,8.81,7.06,7.17,1855235,1507972096,-0.8,-10.11378002528445
2005-12-30 15:00:00,sh600020,中原高速,7.17,7.17,7.28,5.68,6.11,2873973,1785499904,-1.06,-14.783821478382148
2006-03-24 15:00:00,sh600020,中原高速,6.11,6.12,6.91,5.96,6.1,3657545,2363613184,-0.01,-0.16339869281045752
2006-06-30 15:00:00,sh600020,中原高速,6.1,6.71,8.48,4.13,4.15,2828756,1957349888,-1.95,-29.06110283159464
2006-09-29 15:00:00,sh600020,中原高速,4.15,4.15,4.19,3.24,3.48,7299963,2748487680,-0.67,-16.14457831325301
2006-12-29 15:00:00,sh600020,中原高速,3.48,3.5,4.79,3.43,4.7,14591351,6019546624,1.22,34.85714285714286
2007-03-30 15:00:00,sh600020,中原高速,4.7,4.75,6.89,4.65,6.64,22017252,12542445568,1.94,40.8421052631579
2007-06-29 15:00:00,sh600020,中原高速,6.64,6.65,10.77,6.58,8.93,26290620,23207258112,2.29,34.43609022556391
2007-09-28 15:00:00,sh600020,中原高速,8.93,9.01,9.64,6.33,9.04,17786600,14692891648,0.11,1.2208657047724751
2007-12-28 15:00:00,sh600020,中原高速,9.04,9.25,9.27,6.83,7.96,7490072,5962118656,-1.08,-11.675675675675675
2008-03-31 15:00:00,sh600020,中原高速,7.96,7.96,8.67,5.95,6.07,5870897,4544196608,-1.89,-23.743718592964825
2008-06-30 15:00:00,sh600020,中原高速,6.07,6.09,6.18,3.8,4.05,3837858,2061750016,-2.02,-33.16912972085386
2008-09-26 15:00:00,sh600020,中原高速,4.05,4.09,4.22,2.61,3.01,3183968,1112708736,-1.04,-25.4278728606357
2008-12-31 15:00:00,sh600020,中原高速,3.01,2.98,3.27,2.4,2.65,6012883,1765649024,-0.36,-12.080536912751679
2009-03-31 15:00:00,sh600020,中原高速,2.65,2.67,3.69,2.67,3.37,9148010,2955115776,0.72,26.96629213483146
2009-06-30 15:00:00,sh600020,中原高速,3.37,3.38,4.2,3.3,4.07,13170380,4967546368,0.7,20.710059171597635
2009-09-30 15:00:00,sh600020,中原高速,4.07,4.07,4.48,3.5,3.61,12515349,5118220288,-0.46,-11.302211302211303
2009-12-31 15:00:00,sh600020,中原高速,3.61,3.63,4.85,3.63,4.38,11655112,5043224576,0.77,21.21212121212121
2010-03-31 15:00:00,sh600020,中原高速,4.38,4.4,5.15,4.2,4.82,12058047,5643681280,0.44,10
2010-06-30 15:00:00,sh600020,中原高速,4.82,4.8,4.89,3.44,3.51,5223621,2218348544,-1.31,-27.291666666666664
2010-09-29 15:00:00,sh600020,中原高速,3.51,3.51,4.12,3.38,3.71,5644036,2155119104,0.2,5.698005698005698
